Product Name;Lighting Type;Space Type;ATEX Certified;Power (W);Lumen Output;Image URL;Product Link
Round emergency luminaire for escape route lighting. Recessed mounting. ;Emergency escape lighting;Schools;;3 W;205 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/K1R (SK11 - SK12)/SK11 - verlichting/SK1112A2.jpg;https://www.etaplighting.com/en/series/K1R-light/k1r2133s2
Emergency luminaire with comfortable diffuse lighting. Surface mounted.;Emergency escape lighting;Schools;;1 W;200 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/K1R (SK11 - SK12)/SK12 - signalisatie/SK1203A4.jpg;https://www.etaplighting.com/en/series/K1R-light/k1r1651
Suspended LED+LENS luminaire.;Surface mounted & suspended luminaires;Schools;;37 W;4650 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/R7/Pendel/R7RP24X1.jpg;https://www.etaplighting.com/en/series/R7/R721R1LEDW2445DX1
Industrial line luminaire with sleek design. Surge protection (LN/PE): 1kV/2kV (for light industrial environments).;Industrial light line systems;Industry;;24 W;3300 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/E4 (SE4)/SE4104A6.jpg;https://www.etaplighting.com/en/series/E4/E4201LED1N030S
Minimalistic design emergency luminaire for single sided signage. Parallel to wall mounting.;Emergency signage;Offices;;1 W;50 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/K9 (SK9)/SK94 - K9R lange signalering/SK9401A1.jpg;https://www.etaplighting.com/en/series/K9-picto/k9r4331x2s2
Surface-mounted LED+LENS luminaire.;Surface mounted & suspended luminaires;Schools;;35 W;4750 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/R7/SR7001 - R7 opbouw/SR7001F1.jpg;https://www.etaplighting.com/en/series/R7/R728R1LEDW3645DX1
Minimalistic design round emergency luminaire for anti-panic lighting. Recessed mounted.;Emergency escape lighting;Offices;;3 W;300 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/K9 (SK9)/SK91 - K9R (nieuw oktober 2012)/SK9104A3.jpg;https://www.etaplighting.com/en/series/K9-light/k9r2253x1
"Emergency luminaire for single or double sided signage. Surface mounted.
";Emergency signage;Industry;;3 W;240 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/K1 (SK1)/SK1012 - signage with plate/SK1012A9.jpg;https://www.etaplighting.com/en/series/K1-picto/k1433
Suspended LED+LENS luminaire.;Surface mounted & suspended luminaires;Schools;;33 W;4650 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/R7/Pendel/R7RP36X1.jpg;https://www.etaplighting.com/en/series/R7/R751R1LEDN3645DX1
Industrial dust- and waterproof ATEX luminaire.;ATEX,High protection factor luminaires;Industry;;39 W;5000 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/E2 (SE2)/SE21001A1.jpg;https://www.etaplighting.com/en/series/E2-Atex/E22LED3N045D-ATEX1
Surface-mounted and suspended diffusor luminaire.;Surface mounted & suspended luminaires;Schools;;20 W;2450 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/R8 (SR8)/SR8102 - R8 pendel/SR8102A2.jpg;https://www.etaplighting.com/en/series/R8/R821R1LEDW25S
Surface-mounted LED+LENS luminaire.;Surface mounted & suspended luminaires;Schools;;44 W;6200 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/R7/SR7001 - R7 opbouw/SR7001A4-white.jpg;https://www.etaplighting.com/en/series/R7/R730R1LEDN4860SX1
Surface-mounted LED+LENS luminaire.;Surface mounted & suspended luminaires;Schools;;26 W;3150 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/R7/SR7001 - R7 opbouw/SR7001A8.jpg;https://www.etaplighting.com/en/series/R7/R730R1LEDW2430DEX1
Surface-mounted LED+LENS luminaire.;Surface mounted & suspended luminaires;Schools;;22 W;2600 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/R7/SR7001 - R7 opbouw/SR7001A8.jpg;https://www.etaplighting.com/en/series/R7/R730R1LEDW2425DEX1
Minimalistic design round emergency luminaire for high light levels. Recessed.;Emergency escape lighting;Offices;;3 W;205 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/K9 (SK9)/SK91 - K9R (nieuw oktober 2012)/SK9107A3.jpg;https://www.etaplighting.com/en/series/K9-light/k9r2633x1s2
Surface-mounted or suspended Shielded Lens luminaire.;Surface mounted & suspended luminaires;Schools;;25 W;3950 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/R3/SR32004A12.jpg;https://www.etaplighting.com/en/series/R3/R3310LEDW440DX1
IP65 emergency luminaire for single sided signage. Wall mounted. ;Emergency signage;Schools;;3 W;130 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/K2 (SK2)/SK2012A2.jpg;https://www.etaplighting.com/en/series/K2-picto/k2323os2
IP65 emergency luminaire for single sided signage. Wall mounted. ;Emergency signage;Schools;;3 W;130 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/K2 (SK2)/SK2012A2.jpg;https://www.etaplighting.com/en/series/K2-picto/k2323os4
Minimalistic design emergency luminaire for single- and double sided signage. Ceiling mounted.;Emergency signage;Offices;;1 W;80 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/K9 (SK9)/SK94 - K9R lange signalering/K9R14X1.jpg;https://www.etaplighting.com/en/series/K9-picto/k9r1421x1s4
Surface-mounted or suspended Shielded Lens luminaire.;Surface mounted & suspended luminaires;Schools;;28 W;4300 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/R3/Pendel/R3RP4X1Wb.jpg;https://www.etaplighting.com/en/series/R3/R3151LEDW445DX1
Industrial line luminaire with sleek design. Surge protection (LN/PE): 1kV/2kV (for light industrial environments).;Industrial light line systems;Industry;;70 W;10050 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/E4 (SE4)/SE4104A6.jpg;https://www.etaplighting.com/en/series/E4/E4401LED4N080S
Surface-mounted LED+LENS luminaire.;Surface mounted & suspended luminaires;Schools;;44 W;6200 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/R7/SR7001 - R7 opbouw/R7-848X1_copy.jpg;https://www.etaplighting.com/en/series/R7/R738R1LEDN4860SX1
Industrial line luminaire with sleek design. Surge protection (LN/PE): 1kV/2kV (for light industrial environments).;Industrial light line systems;Industry;;97 W;13200 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/E4 (SE4)/SE4104A6.jpg;https://www.etaplighting.com/en/series/E4/E4611LED2N120DE
Industrial line luminaire with sleek design. Surge protection (LN/PE): 1kV/2kV (for light industrial environments).;Industrial light line systems;Industry;;97 W;13350 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/E4 (SE4)/SE4104A6.jpg;https://www.etaplighting.com/en/series/E4/E4201LED4N120S
Emergency luminaire for escape route lighting. Surface mounted. ;Emergency escape lighting;Industry;;3 W;320 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/K1 (SK1)/SK1010 - Fresnellens/SK1010A2.jpg;https://www.etaplighting.com/en/series/K1-light/k1153
Minimalistic design round emergency luminaire for anti-panic lighting. Recessed mounted.;Emergency escape lighting;Offices;;3 W;300 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/K9 (SK9)/SK91 - K9R (nieuw oktober 2012)/SK9104A3.jpg;https://www.etaplighting.com/en/series/K9-light/k9r223n-230x1c3
Industrial line luminaire with sleek design. Surge protection (LN/PE): 1kV/2kV (for light industrial environments).;Industrial light line systems;Industry;;99 W;13000 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/E4 (SE4)/SE4104B3.jpg;https://www.etaplighting.com/en/series/E4/E4415LED4N120S
Surface-mounted LED+LENS luminaire.;Surface mounted & suspended luminaires;Schools;;26 W;3150 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/R7/SR7001 - R7 opbouw/SR7001F9.jpg;https://www.etaplighting.com/en/series/R7/R728R1LEDW2430DEX1
Minimalistic design square emergency luminaire for anti-panic lighting. Recessed mounted.;Emergency escape lighting;Offices;;3 W;300 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/K9 (SK9)/SK91 - K9R (nieuw oktober 2012)/K9R32X2.jpg;https://www.etaplighting.com/en/series/K9-light/k9r3233x2
Industrial line luminaire with sleek design. Surge protection (LN/PE): 1kV/2kV (for light industrial environments).;Industrial light line systems;Industry;;194 W;26750 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/E4 (SE4)/SE4104A6.jpg;https://www.etaplighting.com/en/series/E4/E4211LED4N240DE
Suspended LED+LENS luminaire.;Surface mounted & suspended luminaires;Schools;;18 W;2250 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/R7/Pendel/R7RP18X1.jpg;https://www.etaplighting.com/en/series/R7/R711R1LEDW1820SX1
Industrial line luminaire with sleek design. Surge protection (LN/PE): 1kV/2kV (for light industrial environments).;Industrial light line systems;Industry;;106 W;12500 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/E4 (SE4)/SE4104A6.jpg;https://www.etaplighting.com/en/series/E4/E4011LED2W120DE
Emergency luminaire with comfortable diffuse lighting. Surface mounted.;Emergency escape lighting;Schools;;1 W;200 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/K1R (SK11 - SK12)/SK12 - signalisatie/SK1203A4.jpg;https://www.etaplighting.com/en/series/K1R-light/k1r161-230s20
Industrial line luminaire with sleek design. Surge protection (LN/PE): 1kV/2kV (for light industrial environments).;Industrial light line systems;Industry;;212 W;26350 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/E4 (SE4)/SE4104A6.jpg;https://www.etaplighting.com/en/series/E4/E4611LED4W240D
Minimalistic design emergency luminaire for single- and double sided signage. Ceiling mounted.;Emergency signage;Offices;;1 W;80 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/K9 (SK9)/new ISO picto 2022/K9R14X2.jpg;https://www.etaplighting.com/en/series/K9-picto/k9r141-230x2
Softlight with 100% indirect lighting.;Recessed luminaires;Schools;;22 W;2450 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/US3 (SUS)/SUS1005A2.jpg;https://www.etaplighting.com/en/series/US3/US3141LEDW20D
Industrial line luminaire with sleek design. Surge protection (LN/PE): 1kV/2kV (for light industrial environments).;Industrial light line systems,Luminaires for high ceilings;Industry;;49 W;6500 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/E4 (SE4)/SE4100A1.jpg;https://www.etaplighting.com/en/series/E4/E4610LED1N060DE
Minimalistic design square emergency luminaire for anti-panic lighting. Surface mounted.;Emergency escape lighting;Offices;;3 W;220 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/K9 (SK9)/SK91 - K9R (nieuw oktober 2012)/SK9100A3.jpg;https://www.etaplighting.com/en/series/K9-light/k9r1253x2s2
Industrial dust- and waterproof ATEX luminaire.;ATEX,High protection factor luminaires;Industry;;63 W;8300 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/E2 (SE2)/SE21001A4.jpg;https://www.etaplighting.com/en/series/E2-Atex/E21LED5N075S-ATEX1
Minimalistic design emergency luminaire for single- and double sided signage. Perpendicular to wall mounting.;Emergency signage;Offices;;1 W;50 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/K9 (SK9)/SK94 - K9R lange signalering/SK9404A2.jpg;https://www.etaplighting.com/en/series/K9-picto/k9r5431x1s2
Architectural spot light.;Spots;Toilets,Offices;;7 W;730 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/Flare (SFL)/SFL001B1.jpg;https://www.etaplighting.com/en/series/Flare/FLARE-12LEDW6D
Square emergency luminaire for single- or double-sided signage. Surface mounted.;Emergency signage;Offices;;3 W;50 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/K1R (SK11 - SK12)/SK12 - signalisatie/SK1202A1.jpg;https://www.etaplighting.com/en/series/K1R-mini-picto/k1r153n-230
Surface-mounted LED+LENS luminaire.;Surface mounted & suspended luminaires;Schools;;27 W;3550 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/R7/SR7001 - R7 opbouw/SR7001A9.jpg;https://www.etaplighting.com/en/series/R7/R750R1LEDW3635SX1
Minimalistic design emergency luminaire for single- and double sided signage. Recessed mounted.;Emergency signage;Offices;;1 W;80 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/K9 (SK9)/SK94 - K9R lange signalering/SK9403A1.jpg;https://www.etaplighting.com/en/series/K9-picto/k9r2451x2
Minimalistic design emergency luminaire for single sided signage. Parallel to wall mounting.;Emergency signage;Offices;;1 W;80 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/K9 (SK9)/SK94 - K9R lange signalering/SK9401A1.jpg;https://www.etaplighting.com/en/series/K9-picto/k9r4331x2
Architectural spot light.;Spots;Toilets,Offices;;7 W;720 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/Flare (SFL)/SFL001B3.jpg;https://www.etaplighting.com/en/series/Flare/FLARE-21LEDW6D
IP65 emergency luminaire for escape route lighting. Surface mounted. ;Emergency escape lighting;Schools;;3 W;202 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/K2 (SK2)/K2_VW-AP.jpg;https://www.etaplighting.com/en/series/K2-light/k2123s2
Surface-mounted LED+LENS luminaire.;Surface mounted & suspended luminaires;Schools;;25 W;3150 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/R7/SR7001 - R7 opbouw/SR7001A8.jpg;https://www.etaplighting.com/en/series/R7/R720R1LEDW2430SX1
Surface-mounted and suspended diffusor luminaire.;Surface mounted & suspended luminaires,Wall luminaires;Schools;;37 W;4550 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/R8 (SR8)/SR8100 - R8 opbouw - plafond/SR8100A2.jpg;https://www.etaplighting.com/en/series/R8/R820R1LEDW45S
Suspended LED+LENS luminaire.;Surface mounted & suspended luminaires;Schools;;27 W;3600 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/R7/Pendel/R7RP24X1.jpg;https://www.etaplighting.com/en/series/R7/R721R1LEDW2435DX1
Surface-mounted LED+LENS luminaire.;Surface mounted & suspended luminaires;Schools;;25 W;3150 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/R7/SR7001 - R7 opbouw/SR7001A8.jpg;https://www.etaplighting.com/en/series/R7/R730R1LEDW2430SX1
Industrial line luminaire with sleek design. Surge protection (LN/PE): 1kV/2kV (for light industrial environments).;Industrial light line systems;Industry;;35 W;5100 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/E4 (SE4)/SE4104A6.jpg;https://www.etaplighting.com/en/series/E4/E4201LED2N040D
Surface-mounted and suspended diffusor luminaire.;Surface mounted & suspended luminaires;Schools;;19 W;2550 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/R8 (SR8)/SR8102 - R8 pendel/SR8102A1.jpg;https://www.etaplighting.com/en/series/R8/R811R1LEDN25S
Round emergency luminaire for anti-panic lighting. Recessed mounting. ;Emergency escape lighting;Schools;;3 W;220 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/K1R (SK11 - SK12)/SK11 - verlichting/SK1102A1_inbouwspot-antipaniek-standaard.jpg;https://www.etaplighting.com/en/series/K1R-light/k1r2253s2
Emergency luminaire for anti-panic lighting in ATEX environments.;Emergency escape lighting,ATEX;Industry;;6 W;550 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/KE2 ATEX (SKE2)/SKE2010A3.jpg;https://www.etaplighting.com/en/series/KE2/ke2136-atex1
Surface-mounted LED+LENS luminaire.;Surface mounted & suspended luminaires;Schools;;47 W;6300 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/R7/SR7001 - R7 opbouw/R7-848X1_copy.jpg;https://www.etaplighting.com/en/series/R7/R738R1LEDW4860SX1
Industrial line luminaire with sleek design. Surge protection (LN/PE): 1kV/2kV (for light industrial environments).;Industrial light line systems;Industry;;48 W;6200 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/E4 (SE4)/SE4104A6.jpg;https://www.etaplighting.com/en/series/E4/E4011LED1N060D
Suspended LED+LENS luminaire.;Surface mounted & suspended luminaires;Schools;;33 W;4650 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/R7/Pendel/R7RP36X1.jpg;https://www.etaplighting.com/en/series/R7/R751R1LEDN3645SX1
Surface-mounted LED+LENS luminaire.;Surface mounted & suspended luminaires;Schools;;28 W;3550 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/R7/SR7001 - R7 opbouw/SR7001A9.jpg;https://www.etaplighting.com/en/series/R7/R720R1LEDN3635DEX1
Industrial line luminaire with sleek design. Surge protection (LN/PE): 1kV/2kV (for light industrial environments).;Industrial light line systems;Industry;;39 W;5000 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/E4 (SE4)/SE4104A6.jpg;https://www.etaplighting.com/en/series/E4/E4401LED2W040D
IP65 emergency luminaire for single sided signage. Wall mounted. ;Emergency signage;Schools;;3 W;130 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/K2 (SK2)/SK2012A2.jpg;https://www.etaplighting.com/en/series/K2-picto/k233-230c3
Minimalistic design round emergency luminaire for high light levels. Recessed.;Emergency escape lighting;Offices;;3 W;280 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/K9 (SK9)/SK91 - K9R (nieuw oktober 2012)/SK9107A4.jpg;https://www.etaplighting.com/en/series/K9-light/k9r2633x2
Softlight with 100% indirect lighting.;Recessed luminaires;Schools;;19 W;2350 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/US3 (SUS)/SUS1006A2.jpg;https://www.etaplighting.com/en/series/US3/US3140LEDN20D
Minimalistic design square emergency luminaire for high light levels. Surface mounted.;Emergency escape lighting;Offices;;3 W;205 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/K9 (SK9)/SK91 - K9R (nieuw oktober 2012)/SK9100A3.jpg;https://www.etaplighting.com/en/series/K9-light/k9r1653x2s2
"Emergency luminaire for single or double sided signage. Surface mounted.
";Emergency signage;Industry;;3 W;240 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/K1 (SK1)/SK1012 - signage with plate/SK1012A9.jpg;https://www.etaplighting.com/en/series/K1-picto/k1423s4
Minimalistic design square emergency luminaire for high light levels. Surface mounted.;Emergency escape lighting;Offices;;3 W;280 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/K9 (SK9)/SK91 - K9R (nieuw oktober 2012)/SK9106A2.jpg;https://www.etaplighting.com/en/series/K9-light/k9r1633x1
Minimalistic design square emergency luminaire for escape route lighting. Surface mounted.;Emergency escape lighting;Offices;;6 W;500 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/K9 (SK9)/SK92 - K9R ambiance Frankrijk/SK9200A3.jpg;https://www.etaplighting.com/en/series/K9-light/k9r1126-fx2
Minimalistic design square emergency luminaire for anti-panic lighting. Surface mounted.;Emergency escape lighting;Offices;;3 W;300 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/K9 (SK9)/SK91 - K9R (nieuw oktober 2012)/SK9100A3.jpg;https://www.etaplighting.com/en/series/K9-light/k9r1223x2
Suspended LED+LENS luminaire.;Surface mounted & suspended luminaires;Schools;;18 W;2400 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/R7/Pendel/R7RP18X1.jpg;https://www.etaplighting.com/en/series/R7/R711R1LEDN1820SX1
Industrial line luminaire with sleek design. Surge protection (LN/PE): 1kV/2kV (for light industrial environments).;Industrial light line systems,Luminaires for high ceilings;Industry;;48 W;6550 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/E4 (SE4)/SE4100A1.jpg;https://www.etaplighting.com/en/series/E4/E4210LED1N060S
Surface-mounted LED+LENS luminaire.;Surface mounted & suspended luminaires;Schools;;26 W;3550 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/R7/SR7001 - R7 opbouw/SR7001F1.jpg;https://www.etaplighting.com/en/series/R7/R728R1LEDN3635SX1
Industrial line luminaire with sleek design. Surge protection (LN/PE): 1kV/2kV (for light industrial environments).;Industrial light line systems,Luminaires for high ceilings;Industry;;77 W;9800 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/E4 (SE4)/SE4100A1.jpg;https://www.etaplighting.com/en/series/E4/E4610LED15W090S
Minimalistic design emergency luminaire for single sided signage. Parallel to wall mounting.;Emergency signage;Offices;;1 W;80 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/K9 (SK9)/SK94 - K9R lange signalering/SK9401A2.jpg;https://www.etaplighting.com/en/series/K9-picto/k9r4331x1
Surface-mounted or suspended Shielded Lens luminaire.;Surface mounted & suspended luminaires;Schools;;20 W;3000 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/R3/SR32004A13.jpg;https://www.etaplighting.com/en/series/R3/R3158LEDW430DX1
Minimalistic design emergency luminaire for single- and double sided signage. Perpendicular to wall mounting.;Emergency signage;Offices;;1 W;80 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/K9 (SK9)/SK96 - K9R signalering Frankrijk/SK9604A2.jpg;https://www.etaplighting.com/en/series/K9-picto/k9r5421-fx1
Industrial line luminaire with sleek design. Surge protection (LN/PE): 1kV/2kV (for light industrial environments).;Industrial light line systems;Industry;;106 W;13100 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/E4 (SE4)/SE4104A6.jpg;https://www.etaplighting.com/en/series/E4/E4601LED4W120D
Surface-mounted LED+LENS luminaire.;Surface mounted & suspended luminaires;Schools;;27 W;3550 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/R7/SR7001 - R7 opbouw/SR7001F1.jpg;https://www.etaplighting.com/en/series/R7/R728R1LEDW3635SX1
IP65 emergency luminaire for escape route lighting. Surface mounted. ;Emergency escape lighting;Schools;;3 W;275 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/K2 (SK2)/K2_VW-AP.jpg;https://www.etaplighting.com/en/series/K2-light/k2133
Industrial line luminaire with sleek design. Surge protection (LN/PE): 1kV/2kV (for light industrial environments).;Industrial light line systems;Industry;;70 W;9650 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/E4 (SE4)/SE4104B3.jpg;https://www.etaplighting.com/en/series/E4/E4015LED4N080DE
Industrial line luminaire with sleek design. Surge protection (LN/PE): 1kV/2kV (for light industrial environments).;Industrial light line systems;Industry;;141 W;20100 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/E4 (SE4)/SE4104A6.jpg;https://www.etaplighting.com/en/series/E4/E4411LED4N160S
Suspended LED+LENS luminaire.;Surface mounted & suspended luminaires;Schools;;35 W;4750 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/R7/Pendel/R7RP36X1.jpg;https://www.etaplighting.com/en/series/R7/R751R1LEDW3645DX1
Surface-mounted LED+LENS luminaire.;Surface mounted & suspended luminaires;Schools;;25 W;3550 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/R7/SR7001 - R7 opbouw/SR7001F1.jpg;https://www.etaplighting.com/en/series/R7/R728R1LEDN3635DX1
Mini emergency module for escape route lighting. Recessed mounting. ;Emergency escape lighting;Offices;;3 W;210 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/K9 (SK9)/SK95 - K9R mini/SK9501A3.jpg;https://www.etaplighting.com/en/series/K9-mini/k9r0123ns2
Minimalistic design square emergency luminaire for high light levels. Recessed.;Emergency escape lighting;Offices;;3 W;205 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/K9 (SK9)/SK91 - K9R (nieuw oktober 2012)/K9R36X1.jpg;https://www.etaplighting.com/en/series/K9-light/k9r3633x1s2
Minimalistic design emergency luminaire for single- and double sided signage. Ceiling mounted.;Emergency signage;Offices;;3 W;85 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/K9 (SK9)/SK93 - K9R vierkante signalering/SK9302A2.jpg;https://www.etaplighting.com/en/series/K9-mini-picto/k9r1523x1
Minimalistic design round emergency luminaire for escape route lighting. Recessed mounted.;Emergency escape lighting;Offices;;3 W;280 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/K9 (SK9)/SK91 - K9R (nieuw oktober 2012)/SK9105A1.jpg;https://www.etaplighting.com/en/series/K9-light/k9r213n-230x1c3
Industrial line luminaire with sleek design. Surge protection (LN/PE): 1kV/2kV (for light industrial environments).;Industrial light line systems;Industry;;19 W;2500 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/E4 (SE4)/SE4104A6.jpg;https://www.etaplighting.com/en/series/E4/E4201LED1W020D
Suspended LED+LENS luminaire.;Surface mounted & suspended luminaires;Schools;;32 W;4600 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/R7/Pendel/R7SP36X1.jpg;https://www.etaplighting.com/en/series/R7/R729R1LEDN3645DX1
Industrial dust- and waterproof ATEX luminaire.;ATEX,High protection factor luminaires;Industry;;51 W;6650 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/E2 (SE2)/SE21001A3.jpg;https://www.etaplighting.com/en/series/E2-Atex/E21LED4N060S-ATEX1
Minimalistic design square emergency luminaire for escape route lighting. Surface mounted.;Emergency escape lighting;Offices;;6 W;500 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/K9 (SK9)/SK92 - K9R ambiance Frankrijk/SK9200A2.jpg;https://www.etaplighting.com/en/series/K9-light/k9r1136-fx1
Square emergency luminaire for single- or double-sided signage. Surface mounted.;Emergency signage;Offices;;3 W;70 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/K1R (SK11 - SK12)/SK12 - signalisatie/SK1202A1.jpg;https://www.etaplighting.com/en/series/K1R-mini-picto/k1r1533s2
Softlight with 100% indirect lighting.;Recessed luminaires;Schools;;20 W;2350 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/US3 (SUS)/SUS1006A2.jpg;https://www.etaplighting.com/en/series/US3/US3140LEDW20D
IP65 emergency luminaire with comfortable diffuse lighting. Surface mounted.;Emergency escape lighting;Schools;;3 W;330 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/K2 (SK2)/SK2010B1.jpg;https://www.etaplighting.com/en/series/K2-light/k2653o
Minimalistic design round emergency luminaire for high light levels. Recessed.;Emergency escape lighting;Offices;;3 W;205 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/K9 (SK9)/SK91 - K9R (nieuw oktober 2012)/SK9107A4.jpg;https://www.etaplighting.com/en/series/K9-light/k9r2633x2s2
Industrial dust- and waterproof ATEX luminaire.;ATEX,High protection factor luminaires;Industry;;27 W;3300 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/E2 (SE2)/SE21001A1.jpg;https://www.etaplighting.com/en/series/E2-Atex/E22LED2N030D-ATEX1
IP65 emergency luminaire for double sided signage. Surface mounted. ;Emergency signage;Schools;;3 W;55 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/K2 (SK2)/SK2020A1.jpg;https://www.etaplighting.com/en/series/K2-picto/k2433-a
Surface-mounted and suspended diffusor luminaire.;Surface mounted & suspended luminaires,Wall luminaires;Schools;;22 W;2650 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/R8 (SR8)/SR8100 - R8 opbouw - plafond/SR8100A1.jpg;https://www.etaplighting.com/en/series/R8/R810R1LEDN25D
Industrial line luminaire with sleek design. Surge protection (LN/PE): 1kV/2kV (for light industrial environments).;Industrial light line systems;Industry;;35 W;4800 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/E4 (SE4)/SE4104A6.jpg;https://www.etaplighting.com/en/series/E4/E4001LED2N040S
